epoch,loss,accuracy,model,path
15,0.11531284398266248,0.9541284403669725,relu,models/machine_learning_model_relu1.pth
15,0.042728404414706996,0.9954128440366973,relu,models/machine_learning_model_relu2.pth
15,0.038334034117204804,0.9908256880733946,relu,models/machine_learning_model_relu3.pth
15,0.04091680349249925,0.9862385321100917,relu,models/machine_learning_model_relu4.pth
15,0.09492319809006793,0.9724770642201835,relu,models/machine_learning_model_relu5.pth
15,0.05176297961069005,0.9954128440366973,relu,models/machine_learning_model_relu6.pth
15,0.06615580059587955,0.981651376146789,relu,models/machine_learning_model_relu7.pth
15,0.06934244970657996,0.981651376146789,relu,models/machine_learning_model_relu8.pth
15,0.04271014982701412,0.9954128440366973,relu,models/machine_learning_model_relu9.pth
15,0.03471733203956059,0.9954128440366973,relu,models/machine_learning_model_relu10.pth
15,0.03150328980492694,1.0,relu,models/machine_learning_model_relu11.pth
15,0.025977506901004484,1.0,relu,models/machine_learning_model_relu12.pth
15,0.05659372199858938,0.9862385321100917,relu,models/machine_learning_model_relu13.pth
15,0.03265882675935115,0.9954128440366973,relu,models/machine_learning_model_relu14.pth
15,0.07934857878301825,0.9724770642201835,relu,models/machine_learning_model_relu15.pth
15,0.03162758729221033,0.981651376146789,relu,models/machine_learning_model_relu16.pth
15,0.07430119533091784,0.9724770642201835,relu,models/machine_learning_model_relu17.pth
15,0.07660230049597365,0.9862385321100917,relu,models/machine_learning_model_relu18.pth
15,0.06142308140572693,0.9862385321100917,relu,models/machine_learning_model_relu19.pth
15,0.06798599740224225,0.9770642201834863,relu,models/machine_learning_model_relu20.pth
15,0.06845728979845132,0.9862385321100917,relu,models/machine_learning_model_relu21.pth
15,0.03107351024768182,0.9954128440366973,relu,models/machine_learning_model_relu22.pth
15,0.04819048262600388,0.9908256880733946,relu,models/machine_learning_model_relu23.pth
15,0.02600133292643087,1.0,relu,models/machine_learning_model_relu24.pth
15,0.08675954810210637,0.9587155963302753,relu,models/machine_learning_model_relu25.pth
15,0.06170798984489271,0.9724770642201835,relu,models/machine_learning_model_relu26.pth
15,0.02319126887180443,0.9954128440366973,relu,models/machine_learning_model_relu27.pth
15,0.0727449127339891,0.9770642201834863,relu,models/machine_learning_model_relu28.pth
15,0.08397754913728152,0.9724770642201835,relu,models/machine_learning_model_relu29.pth
15,0.04432244858305369,0.9908256880733946,relu,models/machine_learning_model_relu30.pth
15,0.03432885617283838,1.0,relu,models/machine_learning_model_relu31.pth
15,0.06563725136220455,0.9908256880733946,relu,models/machine_learning_model_relu32.pth
15,0.09795397959117379,0.963302752293578,relu,models/machine_learning_model_relu33.pth
15,0.058432232455483506,0.9862385321100917,relu,models/machine_learning_model_relu34.pth
15,0.13105321755366667,0.944954128440367,relu,models/machine_learning_model_relu35.pth
15,0.028674674486475333,0.9954128440366973,relu,models/machine_learning_model_relu36.pth
15,0.06579389755747148,0.9770642201834863,relu,models/machine_learning_model_relu37.pth
15,0.07830861057820064,0.9770642201834863,relu,models/machine_learning_model_relu38.pth
15,0.08072261725153242,0.9770642201834863,relu,models/machine_learning_model_relu39.pth
