model,mean_accuracy,std_accuracy,type
relu,0.9825688073394496,0.012570986954948,train
sigmoid,0.9805504587155964,0.010710226845512,train
tanh,0.9844036697247708,0.0124680849216516,train
relu,0.892183908045977,0.0275637174729244,infer
sigmoid,0.8864367816091955,0.0442217126489666,infer
tanh,0.8958620689655173,0.0324616878714259,infer
