model,mean_accuracy,std_accuracy,max_accuracy,min_accuracy
relu,0.9825688073394495,0.012570986954948089,1.0,0.944954128440367
sigmoid,0.9805504587155963,0.010710226845512072,1.0,0.9587155963302753
tanh,0.9844036697247707,0.012468084921651666,1.0,0.9495412844036696
