accuracy,model,path
0.896551724137931,sigmoid,models/machine_learning_model_sigmoid7.pth
0.9195402298850575,sigmoid,models/machine_learning_model_sigmoid8.pth
0.9080459770114943,sigmoid,models/machine_learning_model_sigmoid9.pth
0.896551724137931,sigmoid,models/machine_learning_model_sigmoid10.pth
0.8735632183908046,sigmoid,models/machine_learning_model_sigmoid11.pth
0.9425287356321839,sigmoid,models/machine_learning_model_sigmoid12.pth
0.9195402298850575,sigmoid,models/machine_learning_model_sigmoid13.pth
0.896551724137931,sigmoid,models/machine_learning_model_sigmoid14.pth
0.7471264367816092,sigmoid,models/machine_learning_model_sigmoid15.pth
0.8735632183908046,sigmoid,models/machine_learning_model_sigmoid16.pth
0.8850574712643678,sigmoid,models/machine_learning_model_sigmoid17.pth
0.8735632183908046,sigmoid,models/machine_learning_model_sigmoid18.pth
0.8850574712643678,sigmoid,models/machine_learning_model_sigmoid19.pth
0.7701149425287356,sigmoid,models/machine_learning_model_sigmoid20.pth
0.8850574712643678,sigmoid,models/machine_learning_model_sigmoid21.pth
0.9080459770114943,sigmoid,models/machine_learning_model_sigmoid22.pth
0.8275862068965517,sigmoid,models/machine_learning_model_sigmoid23.pth
0.896551724137931,sigmoid,models/machine_learning_model_sigmoid24.pth
0.8390804597701149,sigmoid,models/machine_learning_model_sigmoid25.pth
0.8275862068965517,sigmoid,models/machine_learning_model_sigmoid26.pth
0.896551724137931,sigmoid,models/machine_learning_model_sigmoid27.pth
0.9080459770114943,sigmoid,models/machine_learning_model_sigmoid28.pth
0.9425287356321839,sigmoid,models/machine_learning_model_sigmoid29.pth
0.8850574712643678,sigmoid,models/machine_learning_model_sigmoid30.pth
0.8735632183908046,sigmoid,models/machine_learning_model_sigmoid31.pth
0.7241379310344828,sigmoid,models/machine_learning_model_sigmoid32.pth
0.896551724137931,sigmoid,models/machine_learning_model_sigmoid33.pth
0.896551724137931,sigmoid,models/machine_learning_model_sigmoid34.pth
0.9195402298850575,sigmoid,models/machine_learning_model_sigmoid35.pth
0.9310344827586207,sigmoid,models/machine_learning_model_sigmoid36.pth
0.9195402298850575,sigmoid,models/machine_learning_model_sigmoid37.pth
0.896551724137931,sigmoid,models/machine_learning_model_sigmoid38.pth
0.9080459770114943,sigmoid,models/machine_learning_model_sigmoid39.pth
0.896551724137931,sigmoid,models/machine_learning_model_sigmoid40.pth
0.9425287356321839,sigmoid,models/machine_learning_model_sigmoid41.pth
0.896551724137931,sigmoid,models/machine_learning_model_sigmoid42.pth
0.9195402298850575,sigmoid,models/machine_learning_model_sigmoid43.pth
0.9080459770114943,sigmoid,models/machine_learning_model_sigmoid44.pth
0.9195402298850575,sigmoid,models/machine_learning_model_sigmoid45.pth
0.9080459770114943,sigmoid,models/machine_learning_model_sigmoid46.pth
0.9195402298850575,sigmoid,models/machine_learning_model_sigmoid47.pth
0.9080459770114943,sigmoid,models/machine_learning_model_sigmoid48.pth
0.8850574712643678,sigmoid,models/machine_learning_model_sigmoid49.pth
0.8850574712643678,sigmoid,models/machine_learning_model_sigmoid50.pth
