model,mean_accuracy,std_accuracy,max_accuracy,min_accuracy
relu,0.892183908045977,0.027563717472924434,0.942528735632184,0.8275862068965517
sigmoid,0.8864367816091955,0.04422171264896662,0.942528735632184,0.7241379310344828
tanh,0.8980990274093723,0.033763733820629534,0.9540229885057472,0.8045977011494253
